Name,address,rating ,type,location
Nordstrom Rack,4036 E 82nd St,4.1,Department store,https://www.google.com/maps/place/Nordstrom+Rack/data=!4m7!3m6!1s0x886b52a8de055793:0x490d44aa787173ac!8m2!3d39.90858!4d-86.0965866!16s%2Fg%2F1tfdzlrh!19sChIJk1cF3qhSa4gRrHNxeKpEDUk?authuser=0&hl=en&rclk=1
Midland Arts & Antiques Market,907 E Michigan St,4.6,Antique store,https://www.google.com/maps/place/Midland+Arts+%26+Antiques+Market/data=!4m7!3m6!1s0x886b508cce7c3a11:0x3df4a3db06235bff!8m2!3d39.773268!4d-86.141843!16s%2Fg%2F1tf4fskd!19sChIJETp8zoxQa4gR_1sjBtuj9D0?authuser=0&hl=en&rclk=1
Clay Terrace,14390 Clay Terrace Blvd Ste 165,4.5,Shopping mall,https://www.google.com/maps/place/Clay+Terrace/data=!4m7!3m6!1s0x8814ad7c32b45e6f:0xe3753dd090bf76b!8m2!3d39.9988447!4d-86.1295249!16s%2Fm%2F0s8x37t!19sChIJb160MnytFIgRa_cLCd1TNw4?authuser=0&hl=en&rclk=1
Plains' Gift Shop,1200 W Washington St,,Gift shop,https://www.google.com/maps/place/Plains'+Gift+Shop/data=!4m7!3m6!1s0x886b574d4c0a72c3:0x72f3b9633c7ff785!8m2!3d39.767448!4d-86.1801293!16s%2Fg%2F11h_7wgklr!19sChIJw3IKTE1Xa4gRhfd_PGO583I?authuser=0&hl=en&rclk=1
Burlington,5450 E 82nd St,3.6,Clothing store,https://www.google.com/maps/place/Burlington/data=!4m7!3m6!1s0x886b4d487c79e1ab:0xbe5dfd1837ac41f1!8m2!3d39.9067938!4d-86.0745477!16s%2Fg%2F1hf463b4d!19sChIJq-F5fEhNa4gR8UGsNxj9Xb4?authuser=0&hl=en&rclk=1
Penn & Beech Candle Co.,747 N College Ave,4.5,Candle store,https://www.google.com/maps/place/Penn+%26+Beech+Candle+Co./data=!4m7!3m6!1s0x886b50ed8cb2273f:0xa291de7740c6f6e6!8m2!3d39.7773431!4d-86.1450136!16s%2Fg%2F11hcjy6wk3!19sChIJPyeyjO1Qa4gR5vbGQHfekaI?authuser=0&hl=en&rclk=1
Urban Outfitters,"Fashion Mall, 8702 Keystone Crossing #123-B",4.1,Clothing store,https://www.google.com/maps/place/Urban+Outfitters/data=!4m7!3m6!1s0x886b52b487c80657:0x4bac954f45fd0441!8m2!3d39.914188!4d-86.1108964!16s%2Fg%2F11xfz77td!19sChIJVwbIh7RSa4gRQQT9RU-VrEs?authuser=0&hl=en&rclk=1
West Side Shoppes,W 10th St,4.2,Shopping mall,https://www.google.com/maps/place/West+Side+Shoppes/data=!4m7!3m6!1s0x886b50ce82757b8b:0xbff9aba4906ffd5d!8m2!3d39.7816379!4d-86.1700881!16s%2Fg%2F11frqrh841!19sChIJi3t1gs5Qa4gRXf1vkKSr-b8?authuser=0&hl=en&rclk=1
Southport Antique Mall,2028 E Southport Rd,4.5,Antique store,https://www.google.com/maps/place/Southport+Antique+Mall/data=!4m7!3m6!1s0x886b5c9cac7f0965:0x7f33ae2c6495ac92!8m2!3d39.665609!4d-86.124365!16s%2Fg%2F1v_vtn88!19sChIJZQl_rJxca4gRkqyVZCyuM38?authuser=0&hl=en&rclk=1
Ross Dress for Less,5415 E 82nd St,3.9,Clothing store,https://www.google.com/maps/place/Ross+Dress+for+Less/data=!4m7!3m6!1s0x886b4d46368dcca9:0x5c480f27683589a3!8m2!3d39.9036933!4d-86.0762799!16s%2Fg%2F11c1s3kqgw!19sChIJqcyNNkZNa4gRo4k1aCcPSFw?authuser=0&hl=en&rclk=1
Shops on Main,121 US Hwy 41,4.3,Shopping mall,https://www.google.com/maps/place/Shops+on+Main/data=!4m7!3m6!1s0x8811e13a7944d551:0x4b349a362f4a907!8m2!3d41.5208464!4d-87.4679223!16s%2Fg%2F11b69k0fn2!19sChIJUdVEeTrhEYgRB6n0YqNJswQ?authuser=0&hl=en&rclk=1
Goodwill Outlet Store,6650 W Washington St,3.7,Thrift store,https://www.google.com/maps/place/Goodwill+Outlet+Store/data=!4m7!3m6!1s0x886ca7e8003a6a11:0xea3efb4ebb43eb89!8m2!3d39.7472375!4d-86.2770831!16s%2Fg%2F1tk_kgb2!19sChIJEWo6AOinbIgRietDu077Puo?authuser=0&hl=en&rclk=1
Target,6925 W 38th St,4.3,Department store,https://www.google.com/maps/place/Target/data=!4m7!3m6!1s0x886ca99500d77f19:0x7544aa468213c2b2!8m2!3d39.8212896!4d-86.2792954!16s%2Fg%2F11bv1c17pj!19sChIJGX_XAJWpbIgRssITgkaqRHU?authuser=0&hl=en&rclk=1
Tuesday Morning,6935 Lake Plaza Dr C1,4.3,Home goods store,https://www.google.com/maps/place/Tuesday+Morning/data=!4m7!3m6!1s0x886b4d0e6317b787:0x84176cca9f12672f!8m2!3d39.8815597!4d-86.0672632!16s%2Fg%2F1hc49dh9s!19sChIJh7cXYw5Na4gRL2cSn8psF4Q?authuser=0&hl=en&rclk=1
Stomping Ground,1625 Nowland Ave,5,Gift shop,https://www.google.com/maps/place/Stomping+Ground/data=!4m7!3m6!1s0x886b512c10402061:0x1dc3755eb1e05754!8m2!3d39.7846103!4d-86.1303536!16s%2Fg%2F11r3q6lddl!19sChIJYSBAECxRa4gRVFfgsV51wx0?authuser=0&hl=en&rclk=1
Downtown Comics,11 E Market St,4.5,Comic book store,https://www.google.com/maps/place/Downtown+Comics/data=!4m7!3m6!1s0x886b50bdd72637d3:0x9de156d1a3ff053b!8m2!3d39.76836!4d-86.1566961!16s%2Fg%2F1tjrqqkh!19sChIJ0zcm171Qa4gROwX_o9FW4Z0?authuser=0&hl=en&rclk=1
Southlake Mall,2109 Southlake Mall,4.1,Shopping mall,https://www.google.com/maps/place/Southlake+Mall/data=!4m7!3m6!1s0x8811ee97fbf07fcd:0x60dbdfa78555309d!8m2!3d41.4675695!4d-87.3117566!16zL20vMGc5d2Mx!19sChIJzX_w-5fuEYgRnTBVhaff22A?authuser=0&hl=en&rclk=1
The Corner Bazaar,1105 E 52nd St,4.9,Antique store,https://www.google.com/maps/place/The+Corner+Bazaar/data=!4m7!3m6!1s0x886b53d155676cb1:0x2ce75ac556a81a34!8m2!3d39.8465093!4d-86.1400248!16s%2Fg%2F11kfytkdly!19sChIJsWxnVdFTa4gRNBqoVsVa5yw?authuser=0&hl=en&rclk=1
Mission 27 Resale,132 Leota St,4.6,Thrift store,https://www.google.com/maps/place/Mission+27+Resale/data=!4m7!3m6!1s0x886b50885f2b10dd:0x3d2ad519903298f!8m2!3d39.7644444!4d-86.1375385!16s%2Fg%2F11c5s5mbvg!19sChIJ3RArX4hQa4gRjykDmVGt0gM?authuser=0&hl=en&rclk=1
Audrey's Place,3228 E 10th St,4.6,Furniture store,https://www.google.com/maps/place/Audrey's+Place/data=!4m7!3m6!1s0x886b5039e9ef71bd:0x57d3adfa82d3c993!8m2!3d39.7815775!4d-86.1098873!16s%2Fg%2F1tm69pfx!19sChIJvXHv6TlQa4gRk8nTgvqt01c?authuser=0&hl=en&rclk=1
Target,4850 E Southport Rd,4.2,Department store,https://www.google.com/maps/place/Target/data=!4m7!3m6!1s0x886b4355e25b6571:0x7afb1e9a3e7b27c5!8m2!3d39.6681519!4d-86.0845445!16s%2Fg%2F1td2n6yn!19sChIJcWVb4lVDa4gRxSd7Ppoe-3o?authuser=0&hl=en&rclk=1
T.J. Maxx For Kids,50 N Illinois St,,Childrens store,https://www.google.com/maps/place/T.J.+Maxx+For+Kids/data=!4m7!3m6!1s0x886b511be81fbd69:0x7c2ff3480d891ed6!8m2!3d39.7681795!4d-86.1602717!16s%2Fg%2F11sg9pnc94!19sChIJab0f6BtRa4gR1h6JDUjzL3w?authuser=0&hl=en&rclk=1
Free People,8702 Keystone Crossing,3.8,Women's clothing store,https://www.google.com/maps/place/Free+People/data=!4m7!3m6!1s0x886b52b4fbbfac4b:0x9684843c035e2c87!8m2!3d39.9144761!4d-86.1095546!16s%2Fg%2F1hm2vhljx!19sChIJS6y_-7RSa4gRhyxeAzyEhJY?authuser=0&hl=en&rclk=1
Colored Threads,217 W 10th St #125,5,Embroidery shop,https://www.google.com/maps/place/Colored+Threads/data=!4m7!3m6!1s0x886b50e9b453c643:0xe88282ed7a201df!8m2!3d39.7806719!4d-86.1628475!16s%2Fg%2F1tcxv_09!19sChIJQ8ZTtOlQa4gR3wGi1y4oiA4?authuser=0&hl=en&rclk=1
Exit 76 Antique Mall,12595 N Executive Drive,4.5,Antique store,https://www.google.com/maps/place/Exit+76+Antique+Mall/data=!4m7!3m6!1s0x886b74f32f33952b:0xc5d16dec49d99d5b!8m2!3d39.3157539!4d-85.9648895!16s%2Fg%2F1tk1nr13!19sChIJK5UzL_N0a4gRW53ZSext0cU?authuser=0&hl=en&rclk=1
Sell It Here,3805 Fortune Dr,4.4,Flea market,https://www.google.com/maps/place/Sell+It+Here/data=!4m7!3m6!1s0x88131c923d6182e7:0xd08a2cd55514d74d!8m2!3d40.4106568!4d-86.8378656!16s%2Fg%2F1tm1364n!19sChIJ54JhPZIcE4gRTdcUVdUsitA?authuser=0&hl=en&rclk=1
Goose The Market,2503 N Delaware St,4.8,Butcher shop deli,https://www.google.com/maps/place/Goose+The+Market/data=!4m7!3m6!1s0x886b5118461e433b:0xe2a92ebff8aac0db!8m2!3d39.803068!4d-86.1528768!16s%2Fg%2F1thqblqf!19sChIJO0MeRhhRa4gR28Cq-L8uqeI?authuser=0&hl=en&rclk=1
Highland Grove Shopping Center,10300 Indianapolis Blvd,4.3,Shopping mall,https://www.google.com/maps/place/Highland+Grove+Shopping+Center/data=!4m7!3m6!1s0x8811e12f0cac89bd:0xcd6a5e02c0fb1e81!8m2!3d41.526396!4d-87.4696377!16s%2Fg%2F1th0yz4_!19sChIJvYmsDC_hEYgRgR77wAJeas0?authuser=0&hl=en&rclk=1
World Market,2200 E 116th St,4.5,Furniture store,https://www.google.com/maps/place/World+Market/data=!4m7!3m6!1s0x8814ad0a11a3eacb:0xd592cb44df3c1d0b!8m2!3d39.959606!4d-86.1165637!16s%2Fg%2F1tf763cv!19sChIJy-qjEQqtFIgRCx0830TLktU?authuser=0&hl=en&rclk=1
A Taste of Indiana,5016 E 62nd St,4.9,Gift basket store,https://www.google.com/maps/place/A+Taste+of+Indiana/data=!4m7!3m6!1s0x886b4d9d97fb53f5:0xd91c68db9c58bf5c!8m2!3d39.8701146!4d-86.0844529!16s%2Fg%2F1tk6wnbn!19sChIJ9VP7l51Na4gRXL9YnNtoHNk?authuser=0&hl=en&rclk=1
ALDO,"D10A, 49 W Maryland St",4.4,Shoe store,https://www.google.com/maps/place/ALDO/data=!4m7!3m6!1s0x886b50bc7d454c59:0x61d0e727875de6e7!8m2!3d39.7658893!4d-86.159128!16s%2Fg%2F1yl452rpf!19sChIJWUxFfbxQa4gR5-Zdhyfn0GE?authuser=0&hl=en&rclk=1
Indianapolis City Market,222 E Market St,4.4,Market,https://www.google.com/maps/place/Indianapolis+City+Market/data=!4m7!3m6!1s0x886b50960396b9b7:0x23f1baf327c634e7!8m2!3d39.7685789!4d-86.1534699!16s%2Fm%2F0hhv5p9!19sChIJt7mWA5ZQa4gR5zTGJ_O68SM?authuser=0&hl=en&rclk=1
Brown County Antique Mall,3288 IN-46,4.6,Antique store,https://www.google.com/maps/place/Brown+County+Antique+Mall/data=!4m7!3m6!1s0x886c78e0848c2e31:0x11851f6a3304ace0!8m2!3d39.1911111!4d-86.1869444!16s%2Fg%2F11b5pkx8dp!19sChIJMS6MhOB4bIgR4KwEM2ofhRE?authuser=0&hl=en&rclk=1
Uniform House Inc,1927 N Capitol Ave,4,Uniform store,https://www.google.com/maps/place/Uniform+House+Inc/data=!4m7!3m6!1s0x886b50d8e7900281:0x2bc1bf1ffcdfe947!8m2!3d39.7926141!4d-86.1610729!16s%2Fg%2F1ttdz5p6!19sChIJgQKQ59hQa4gRR-nf_B-_wSs?authuser=0&hl=en&rclk=1
The Shops at Perry Crossing,2499 Perry Crossing Way,4.4,Shopping mall,https://www.google.com/maps/place/The+Shops+at+Perry+Crossing/data=!4m7!3m6!1s0x886ca44a091ddcc5:0xc445905759c1fd0b!8m2!3d39.7110073!4d-86.3587489!16s%2Fg%2F1jlk0hkz7!19sChIJxdwdCUqkbIgRC_3BWVeQRcQ?authuser=0&hl=en&rclk=1
Graceful Lady Boutique,805 E Park St #1,4.8,Boutique,https://www.google.com/maps/place/Graceful+Lady+Boutique/data=!4m7!3m6!1s0x8871dfa62e6415a3:0x5d35dbbe5f305a6c!8m2!3d38.2521496!4d-87.5691839!16s%2Fg%2F1ptym8qy7!19sChIJoxVkLqbfcYgRbFowX77bNV0?authuser=0&hl=en&rclk=1
James Dant - Purveyors of Men's Goods,5624 E Washington St,4.8,Men's clothing store,https://www.google.com/maps/place/James+Dant+-+Purveyors+of+Men's+Goods/data=!4m7!3m6!1s0x886b4f957f20ed89:0xa0f032a8dfcdc56a!8m2!3d39.770916!4d-86.07125!16s%2Fg%2F1pty61g09!19sChIJie0gf5VPa4gRasXN36gy8KA?authuser=0&hl=en&rclk=1
Nurture Baby & Child,433 Massachusetts Ave,4.9,Baby clothing store,https://www.google.com/maps/place/Nurture+Baby+%26+Child/data=!4m7!3m6!1s0x886b5094c93b657f:0xf8b9181741c0d8eb!8m2!3d39.7732471!4d-86.1512751!16s%2Fg%2F1thbxdnx!19sChIJf2U7yZRQa4gR69jAQRcYufg?authuser=0&hl=en&rclk=1
Forever 21,6020 E 82nd St Suite 1515,4,Clothing store,https://www.google.com/maps/place/Forever+21/data=!4m7!3m6!1s0x886b4d30934321e9:0x70386c9ae9538dfc!8m2!3d39.9077813!4d-86.0655386!16s%2Fg%2F1tklr921!19sChIJ6SFDkzBNa4gR_I1T6ZpsOHA?authuser=0&hl=en&rclk=1
All My Relations,7218 Rockville Rd,4.5,Rock shop,https://www.google.com/maps/place/All+My+Relations/data=!4m7!3m6!1s0x886b57c16006cc3d:0x1e4120405d8c07d1!8m2!3d39.7648088!4d-86.2876011!16s%2Fg%2F1td2vn1v!19sChIJPcwGYMFXa4gR0QeMXUAgQR4?authuser=0&hl=en&rclk=1
Walmart Supercenter,10735 Pendleton Pike,3.6,Department store,https://www.google.com/maps/place/Walmart+Supercenter/data=!4m7!3m6!1s0x886b4bb1e7549e6b:0xa18ee36dc284b54!8m2!3d39.858206!4d-85.9759324!16s%2Fg%2F1tjv43b3!19sChIJa55U57FLa4gRVEso3DbuGAo?authuser=0&hl=en&rclk=1
